,key,symbol,name,address,decimals,blockchain
197,$VLAD-33c1,$VLAD,$VLAD,0xd51B9A23153df952932650E7747BEFE7C96133c1,18.0,ethereum
198,ORM-Ef0C,ORM,ORM,0xd51e852630DeBC24E9e1041a03d80A0107F8Ef0C,0.0,ethereum
199,HLD-E280,HLD,HLD,0xD520ddbdf81323F4B9a0Ea0AdBb692eBEf6cE280,18.0,ethereum
200,SGBAR-432E,SGBAR,SGBAR,0xd5218E702b73877724574384d967FEfe357F432E,18.0,ethereum
201,GreYd-6471,GreYd,GreYd,0xD52370535638CC90b43195a080f61453E4A56471,18.0,ethereum
202,MILAREPA-50C5,MILAREPA,MILAREPA,0xd52726F3b970da03642fE91B9aD0864BAb1a50C5,9.0,ethereum
203,HUSKY-5091,HUSKY,HUSKY,0xd5281BB2d1eE94866B03A0fcCDd4e900c8Cb5091,9.0,ethereum
204,PBX-a483,PBX,PBX,0xD528cf2E081f72908e086F8800977df826B5a483,18.0,ethereum
205,MAGE-2B15,MAGE,MAGE,0xd52AAE39a2b5CC7812F7B9450EBB61DfEf702B15,18.0,ethereum
206,XYJ-D3a0,XYJ,XYJ,0xD52C73c15e827701dB5C4961c0F8680D0db7D3a0,18.0,ethereum
207,PENG-8F35,PENG,PENG,0xD532Bd173d5519B4f1A37197A1D256329c2E8F35,18.0,ethereum
208,CRV-cd52,CRV,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,18.0,ethereum
209,ACU-35a6,ACU,ACU,0xD536bBd5414A8C2beEd82a63737B9327D2FA35a6,18.0,ethereum
210,BYELON-C40C,BYELON,BYELON,0xD53962c910251fCA2167e73bA1F93EfE2391C40C,18.0,ethereum
211,GOALINU-8b61,GOALINU,GOALINU,0xD545a9597EadD504bc90dFFC07A15e94Dd2C8b61,9.0,ethereum
212,LFI-1438,LFI,LFI,0xd54A1662348CA7A36ee624e82bb9B88dbF721438,9.0,ethereum
213,Degens100x-9a9A,Degens100x,Degens100x,0xd54BE2a032B8e0E935B42d423d8A16CaDB2C9a9A,9.0,ethereum
214,KIYO-38C0,KIYO,KIYO,0xd54cb848AEDD17AF5d673816E87635a03eFB38C0,18.0,ethereum
215,BBLK-c44a,BBLK,BBLK,0xd54D31a2FfB5f9A91cD292De11e7d58F077cc44a,8.0,ethereum
216,X-3a29,X,X,0xD55222267ad77fc838EF473304b3cf981dee3a29,9.0,ethereum
217,$YANTRA-f37D,$YANTRA,$YANTRA,0xd55231b619Ec464347d7b6eB12Cc7AE19fBbf37D,18.0,ethereum
218,CW-A708,CW,CW,0xd55236D48606c295adEbF129dAD04Fc74BFaA708,18.0,ethereum
219,MEME-affe,MEME,MEME,0xD5525D397898e5502075Ea5E830d8914f6F0affe,8.0,ethereum
220,FTX-6a61,FTX,FTX,0xd559f20296FF4895da39b5bd9ADd54b442596a61,18.0,ethereum
221,byebyehabibibyebye-34bf,byebyehabibibyebye,byebyehabibibyebye,0xd55E932D69108b13640379B0db86f03C796B34bf,18.0,ethereum
222,TRUMPELON-c90f,TRUMPELON,TRUMPELON,0xD561678d8590Aa6D2773bD4990Bb72bC7a0bc90f,9.0,ethereum
223,bashi-290B,bashi,bashi,0xd562a450CD703924190c8fB38239734c9E33290B,18.0,ethereum
224,GAME-1d1c,GAME,GAME,0xD567B5F02b9073aD3a982a099a23Bf019FF11d1c,5.0,ethereum
225,ZPROTOCOL-cFb0,ZPROTOCOL,ZPROTOCOL,0xD5683b57302cf6875960DFb95104dF7d0cbfcFb0,9.0,ethereum
