id,name,tkn0_address,tkn1_address,tkn0_key,tkn1_key
126,WETH-6Cc2/USE-b9E1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDE0903dBa86FE7a6c2F40c337CFaF5756784b9E1,WETH-6Cc2,USE-b9E1
127,Murakami-cDE9/WETH-6Cc2,0x6b251ccc81855F82195Ff1F182aD4B119904cDE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Murakami-cDE9,WETH-6Cc2
128,ARTS-e2DE/HVE2-73f5,0xc217998Dba399bd1DfA354dCE6a4E278b4ADe2DE,0xD487892BB4C57edBe7aB401d9fe801c8FE6473f5,ARTS-e2DE,HVE2-73f5
129,CLNR-f992/CLEANER-a514,0xb6E349e2649241E934F3cF13aEd65047987ef992,0xDc28c25c345ec21C2Af50D42A4fCE6e8CaEAa514,CLNR-f992,CLEANER-a514
130,Metti-4573/WETH-6Cc2,0x84B67E43474a403Cde9aA181b02Ba07399a54573,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Metti-4573,WETH-6Cc2
131,UMIIE-2D9B/UMIIE2-056f,0x12B32f10A499Bf40Db334Efe04226Cca00Bf2D9B,0x5Ed60A121159481675bAD3e648ba4C89753E056f,UMIIE-2D9B,UMIIE2-056f
132,WETH-6Cc2/SHIBAGOLD-86De,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF062F045B17Fe309521C10Af10d42b4b8d8386De,WETH-6Cc2,SHIBAGOLD-86De
133,WVRH-F456/VRH-44b2,0xbDc2217B591cEf4D0054ef314ab0EC0bCD69F456,0xeAd482da0793B00bbAe0E34C8cfaE6DAf29a44b2,WVRH-F456,VRH-44b2
134,MOVIE-1769/WETH-6Cc2,0x7a54Fae94B6960D9f7316612EEC179078e911769,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,MOVIE-1769,WETH-6Cc2
135,WETH-6Cc2/MLD-58d8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe9558B8409Fd09897564dD35f8eadC49600d58d8,WETH-6Cc2,MLD-58d8
